issued_time,n_pairs,hits,misses,false_alarms,correct_negatives,correct_total,accuracy_pct,obs_rain_count,obs_no_rain_count,fc_rain_count,fc_no_rain_count
2026:02:09T00:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:09T12:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:10T00:00:00,25,0,0,4,21,21,84.0,0,25,4,21
2026:02:10T12:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:11T00:00:00,25,0,0,1,24,24,96.0,0,25,1,24
2026:02:11T12:00:00,25,0,0,1,24,24,96.0,0,25,1,24
2026:02:12T00:00:00,25,0,0,1,24,24,96.0,0,25,1,24
2026:02:12T12:00:00,25,0,0,4,21,21,84.0,0,25,4,21
2026:02:13T00:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:13T12:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:14T00:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:14T12:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:15T00:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:15T12:00:00,25,0,0,3,22,22,88.0,0,25,3,22
2026:02:16T00:00:00,25,0,0,5,20,20,80.0,0,25,5,20
2026:02:16T12:00:00,25,0,0,6,19,19,76.0,0,25,6,19
2026:02:17T00:00:00,25,0,0,7,18,18,72.0,0,25,7,18
2026:02:17T12:00:00,25,0,0,7,18,18,72.0,0,25,7,18
2026:02:18T00:00:00,25,0,0,2,23,23,92.0,0,25,2,23
2026:02:18T12:00:00,25,0,0,1,24,24,96.0,0,25,1,24
2026:02:19T00:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:19T12:00:00,25,0,0,4,21,21,84.0,0,25,4,21
2026:02:20T00:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:20T12:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:21T00:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:21T12:00:00,25,0,0,0,25,25,100.0,0,25,0,25
2026:02:22T00:00:00,25,0,0,2,23,23,92.0,0,25,2,23
2026:02:22T12:00:00,24,0,0,2,22,22,91.67,0,24,2,22
2026:02:23T00:00:00,12,0,0,0,12,12,100.0,0,12,0,12
